Feature,Information_Gain
kenang,0.00018934575790797168
kencang,0.0001740983650214353
kendaaran,0.0001882094419438352
kendal,0.0001882094419438352
kendala,0.0004687385777228199
kendali,0.00023955822917652234
kendar,0.00022932202116135838
kendara,0.0153369509275591
kendari,0.0001882094419438352
keneh,0.0006882425571326633
kententuan,0.0001882094419438352
kenyam,0.00033627865634686376
kenyang,0.0001882094419438352
kenyataanya,0.00045873618032261356
keong,0.00022932202116135838
keos,0.00022932202116135838
kepak,0.00022932202116135838
kepala,0.00022025197969726524
kepingin,0.00022932202116135838
kept,0.00022932202116135838
kerah,0.00022932202116135838
kerap,0.00033627865634686376
keras,0.00040255340763188305
kerdil,0.00045873618032261356
kere,0.0001882094419438352
kerek,0.00043914015144671083
keren,0.0065504709719029575
kereta,0.0007688510193520608
kering,0.00014820959043265703
keris,0.00022932202116135838
kerit,0.00022932202116135838
kerja,0.000879402604920389
kerkasama,0.0001882094419438352
kerok,0.0001882094419438352
keroyokan,6.688823393222231e-05
kertas,0.00045873618032261313
kerthi,0.0001882094419438352
keruk,0.0006326232362954276
kerupuk,0.00022932202116135838
kesal,0.0002788012863905718
kesan,0.0013183263094518876
kesana,4.82841793296039e-05
kesandung,0.0001882094419438352
kesanya,0.00043914015144671083
kesiap,0.0013203936806571253
kesini,0.00037648743362983126
kesitu,0.00022932202116135838
ketan,0.00022932202116135838
ketar,0.0013183263094518876
ketat,0.0006503042362133019
ketawa,0.00022932202116135838
ketemu,0.00018934575790797168
ketiban,0.0001882094419438352
ketidakmauan,0.0001882094419438352
ketidakmerataan,0.0001882094419438352
ketimbang,9.247889242024101e-05
ketua,0.0006714783808451407
keukeuh,0.0001882094419438352
keutungan,0.00043914015144671083
keyboard,0.0001882094419438352
kh,0.00043914015144671083
khas,0.00043914015144671083
khatulistiwa,0.00043914015144671083
khawatir,0.0014549150439817642
khianat,0.00022932202116135838
khilaf,0.00022932202116135838
khodam,0.00022932202116135838
kia,0.00037648743362983126
kiamat,0.00029757774086406957
kian,0.00014820959043265703
kiblat,0.00014820959043265703
kilo,0.0006882425571326633
kiloin,0.00022932202116135838
kilometer,0.0001882094419438352
kilowatt,0.00037648743362983126
kimia,0.0004402764674107922
kincir,0.00022932202116135838
kinetik,0.0001882094419438352
king,0.00045873618032261356
kinjerja,0.00043914015144671083
kino,0.0001882094419438352
kipas,0.00043914015144671083
kiprah,0.0001882094419438352
kirain,8.534794684404365e-05
kiri,0.00022932202116135838
kirim,0.0003580277207180099
kisah,0.0003373864365266773
kisar,0.00028287332302876574
kisara,0.00022932202116135838
kit,0.00043914015144671083
klaim,0.0003580277207180099
klakson,0.00022932202116135838
klasik,0.0002951660771293961
klik,0.00022932202116135838
klinik,8.534794684404365e-05
klok,0.0001882094419438352
kmdn,0.00043914015144671083
knalpot,0.00022932202116135838
know,0.0001882094419438352
knowledge,0.0001882094419438352
knows,0.0001882094419438352
koar,0.00045873618032261356
kocak,0.0007573237389400535
kocek,0.00022932202116135838
kodak,1.0224210894700225e-05
